x1,y1,z1
-0.15857258,-0.19192374,0.4721156
-0.1600483,-0.19365777,0.47002998
-0.15780714,-0.19265129,0.47319743
-0.15689573,-0.19263564,0.47448555
-0.1569843,-0.19335249,0.47436035
-0.15704961,-0.19405177,0.47426805
-0.1572312,-0.19483334,0.47401145
-0.15750171,-0.19567615,0.4736291
-0.15798059,-0.19666287,0.47295228
-0.15860447,-0.19774613,0.47207054
-0.15923,-0.19882436,0.47118646
-0.16123997,-0.20084989,0.46834576
-0.16539669,-0.2043234,0.46247098
-0.1706745,-0.20851667,0.45501179
-0.17408815,-0.21140137,0.45018727
-0.17545687,-0.21288441,0.44825283
-0.1761752,-0.21392205,0.4472376
-0.17618385,-0.2144849,0.44722536
-0.17639315,-0.21517886,0.4469296
-0.17673366,-0.21595596,0.4464483
-0.17717238,-0.21679288,0.4458283
-0.17749834,-0.21755342,0.4453676
-0.17763673,-0.21819179,0.44517198
-0.17784996,-0.21887583,0.44487068
-0.17805253,-0.21955112,0.44458434
-0.17810303,-0.22013022,0.444513
-0.17813306,-0.22069626,0.44447055
-0.17818098,-0.22127289,0.4444028
-0.17831026,-0.22189823,0.44422007
-0.17830074,-0.22243907,0.44423357
-0.17836851,-0.22302596,0.44413775
-0.17844267,-0.22361594,0.44403297
-0.17847328,-0.22417973,0.4439897
-0.17844315,-0.224708,0.44403228
-0.17849195,-0.22528197,0.4439633
-0.17853858,-0.22585417,0.44389743
-0.1784708,-0.2263613,0.44399318
-0.1784115,-0.22687387,0.44407701
-0.17838171,-0.22740339,0.4441191
-0.17839138,-0.22795492,0.44410542
-0.1782999,-0.22845125,0.44423473
-0.17819124,-0.22893916,0.44438833
-0.1781012,-0.22943813,0.4445156
-0.17808282,-0.22997598,0.44454154
-0.1781543,-0.2305612,0.44444054
-0.17814709,-0.23110478,0.4444507
-0.17810763,-0.23163183,0.44450647
-0.17812462,-0.23218805,0.44448245
-0.17811202,-0.23272915,0.44450027
-0.1779059,-0.23317358,0.44479162
-0.17781906,-0.23367913,0.44491434
-0.17780378,-0.23422062,0.44493592
-0.17781875,-0.23477694,0.44491476
-0.17768162,-0.23526008,0.44510856
-0.1775329,-0.23573904,0.44531876
-0.17730048,-0.2361801,0.44564727
-0.17709234,-0.23663476,0.44594142
-0.17686825,-0.23708414,0.44625813
-0.17671044,-0.23756596,0.44648114
-0.17658524,-0.23806405,0.44665807
-0.17648204,-0.23857315,0.44680393
-0.17635953,-0.2390748,0.44697705
-0.17631617,-0.23961212,0.44703838
-0.17634557,-0.24018121,0.44699684
-0.1763275,-0.24072984,0.44702238
-0.17623977,-0.2412493,0.44714636
-0.17610534,-0.2417502,0.44733632
-0.1760214,-0.2422732,0.447455
-0.17588548,-0.24277593,0.44764706
-0.17579395,-0.2432978,0.44777644
-0.17570587,-0.24382195,0.44790095
-0.17569348,-0.24437657,0.44791844
-0.17566098,-0.24492356,0.44796437
-0.17569724,-0.24549708,0.4479131
-0.17580266,-0.24609625,0.44776413
-0.17584759,-0.24667193,0.4477006
-0.17585142,-0.24723211,0.4476952
-0.17580146,-0.24777278,0.44776583
-0.17584178,-0.24834615,0.44770887
-0.17578927,-0.24888651,0.44778302
-0.17575902,-0.24943508,0.44782582
