x1,y1,z1
-0.00453713,-0.08478502,0.7589693
-0.0,-0.08298575,0.76538175
-0.0043747993,-0.08776732,0.7591987
-0.0050293957,-0.089795604,0.75827354
-0.0055663562,-0.0917323,0.7575147
-0.0061006993,-0.09366179,0.7567595
-0.0066221887,-0.0955768,0.75602245
-0.0070998236,-0.09745556,0.7553475
-0.007407138,-0.09920975,0.75491303
-0.0076574516,-0.10092107,0.7545593
-0.007785597,-0.10254514,0.7543782
-0.007869536,-0.1041375,0.7542596
-0.007932671,-0.10571483,0.75417036
-0.00806443,-0.10733809,0.75398415
-0.008187751,-0.10895435,0.75380987
-0.008393858,-0.11062477,0.7535186
-0.008646652,-0.11232416,0.7531612
-0.009009327,-0.11409343,0.7526487
-0.009251182,-0.1157801,0.7523068
-0.009530211,-0.11748848,0.75191253
-0.009811018,-0.11919524,0.7515156
-0.010009799,-0.120846786,0.7512347
-0.010181467,-0.1224792,0.7509921
-0.010376479,-0.12412456,0.7507165
-0.010621401,-0.12579916,0.75037026
-0.010791564,-0.12742503,0.75012976
-0.0110407835,-0.12909777,0.7497776
-0.011349212,-0.13080412,0.74934167
-0.011698408,-0.13253205,0.74884814
-0.011935986,-0.13418962,0.7485124
-0.012212181,-0.13586777,0.7481221
-0.012467477,-0.13753088,0.74776125
-0.012719547,-0.13918956,0.74740493
-0.0129551515,-0.14083621,0.7470719
-0.0132263275,-0.14250095,0.7466887
-0.013481329,-0.14415379,0.74632835
-0.013696813,-0.14578176,0.7460238
-0.013996509,-0.14745477,0.7456002
-0.014337286,-0.14914757,0.7451187
-0.014682204,-0.15083928,0.74463105
-0.015028256,-0.15252818,0.7441421
-0.015478738,-0.15427004,0.74350536
-0.015858935,-0.15596983,0.742968
-0.016182521,-0.15763584,0.74251074
-0.016484719,-0.15928741,0.74208367
-0.016764509,-0.16092432,0.7416882
-0.017017381,-0.1625446,0.7413308
-0.01730735,-0.16418129,0.74092096
-0.017635526,-0.16583441,0.7404571
-0.018003652,-0.16750425,0.7399369
-0.018339662,-0.16915452,0.73946196
-0.018639008,-0.17078352,0.73903894
-0.01892546,-0.17240328,0.7386341
-0.019179758,-0.17400473,0.7382747
-0.019483889,-0.17562737,0.7378448
-0.019777412,-0.17724197,0.73743004
-0.020102521,-0.1788684,0.73697054
-0.020392666,-0.1804755,0.7365604
-0.020687146,-0.18208165,0.73614424
-0.020968832,-0.18367918,0.73574615
-0.02128146,-0.18528765,0.7353043
-0.02156084,-0.1868784,0.7349095
-0.02179369,-0.18844606,0.7345804
-0.022029137,-0.19001259,0.7342476
-0.02228666,-0.19158614,0.7338837
-0.022578463,-0.19317158,0.7334713
-0.0228135,-0.1947305,0.7331391
-0.023055786,-0.19629009,0.73279667
-0.02325611,-0.19783022,0.73251355
-0.023481557,-0.19937848,0.7321949
-0.023707237,-0.20092453,0.7318759
-0.023975816,-0.20248517,0.73149633
-0.024184657,-0.20402005,0.7312011
-0.024438467,-0.20557001,0.7308425
-0.024740526,-0.2071356,0.7304155
-0.025048213,-0.20870028,0.72998077
-0.025294501,-0.21023943,0.7296326
-0.025485002,-0.21175599,0.7293633
-0.025720527,-0.21328667,0.72903055
-0.025917063,-0.21480133,0.7287528
-0.02617722,-0.2163361,0.72838503
-0.026482055,-0.21788351,0.7279542
-0.026818553,-0.21943858,0.7274787
-0.027084397,-0.22096688,0.727103
-0.02739175,-0.2225061,0.72666854
-0.027712623,-0.2240466,0.726215
-0.028023941,-0.22558092,0.7257751
-0.028337859,-0.22711293,0.7253314
-0.028712586,-0.22866052,0.72480184
-0.029101027,-0.2302085,0.7242528
-0.029435456,-0.2317366,0.72378016
-0.029824931,-0.23327745,0.7232297
-0.03025125,-0.23482502,0.72262716
-0.030669833,-0.23636617,0.7220356
-0.031065207,-0.23789674,0.72147685
-0.03157689,-0.23945501,0.72075367
-0.032074157,-0.2410044,0.72005093
-0.03257205,-0.24254899,0.7193472
-0.033080608,-0.24409138,0.71862847
-0.03357762,-0.24562582,0.717926
-0.034038886,-0.2471465,0.71727407
-0.034510776,-0.24866515,0.71660715
-0.035011463,-0.250186,0.7158995
-0.035486907,-0.25169596,0.71522766
-0.035933327,-0.25319466,0.7145966
-0.036360875,-0.2546847,0.71399236
-0.03673072,-0.25615796,0.7134697
-0.03706716,-0.25762042,0.71299416
-0.037436087,-0.2590863,0.7124728
-0.037775554,-0.26054257,0.711993
-0.03811481,-0.26199543,0.7115135
-0.038425308,-0.26343936,0.71107465
-0.03875565,-0.26488397,0.7106078
-0.03906283,-0.26632103,0.7101737
-0.03943283,-0.26776624,0.7096508
-0.03978353,-0.26920444,0.7091551
-0.04010319,-0.27063394,0.70870334
-0.040397126,-0.27205607,0.70828795
-0.040722586,-0.2734803,0.7078279
-0.04107065,-0.27490473,0.70733607
-0.041361574,-0.27631724,0.70692486
-0.041675825,-0.27773023,0.7064807
-0.04198435,-0.27913928,0.7060446
-0.042257674,-0.2805406,0.7056584
-0.04251676,-0.2819374,0.70529217
-0.042875685,-0.28334388,0.70478487
-0.043169245,-0.2847391,0.70436996
-0.04345652,-0.2861307,0.703964
-0.043743107,-0.2875194,0.703559
-0.044056986,-0.28890803,0.7031154
-0.044291455,-0.29028577,0.70278394
-0.04447508,-0.29165637,0.70252454
-0.044697676,-0.29302865,0.70220995
-0.04485903,-0.2943936,0.7019818
-0.0449936,-0.29575482,0.7017916
-0.045131728,-0.297115,0.7015964
-0.045366686,-0.29848045,0.7012643
-0.045568515,-0.29984143,0.7009791
-0.04582756,-0.30120382,0.70061296
-0.04613474,-0.3025662,0.70017886
-0.046457484,-0.3039263,0.69972277
-0.046750307,-0.30528185,0.6993089
-0.04706979,-0.3066356,0.69885737
-0.047385585,-0.307986,0.69841105
-0.047660258,-0.3093321,0.69802284
-0.04792346,-0.31067517,0.6976508
-0.048187196,-0.31201568,0.6972781
-0.048484176,-0.31335402,0.6968583
-0.048754748,-0.31468916,0.696476
-0.04900592,-0.31602156,0.696121
-0.04918839,-0.3173515,0.69586307
-0.049427297,-0.31867933,0.6955254
-0.04971035,-0.3200043,0.69512534
-0.050037824,-0.32132578,0.6946626
-0.050327223,-0.3226448,0.69425356
-0.050618462,-0.32396087,0.69384193
-0.05091388,-0.32527393,0.69342446
-0.051157825,-0.32658592,0.69307965
-0.051397707,-0.32789564,0.6927406
-0.05165005,-0.3292024,0.692384
-0.052072834,-0.3304981,0.69178647
-0.052652847,-0.33178088,0.6909667
-0.05331512,-0.33305296,0.69003075
-0.05390887,-0.33432293,0.68919164
-0.054958176,-0.33555502,0.68770856
-0.056510143,-0.3367389,0.68551517
-0.058356337,-0.3378839,0.6829059
-0.060403265,-0.33899343,0.68001294
-0.0629953,-0.34003362,0.6763496
-0.06629614,-0.34098074,0.67168444
-0.07001087,-0.34185374,0.6664344
-0.073440716,-0.34271976,0.661587
-0.07658241,-0.34358346,0.6571468
-0.07951676,-0.34443977,0.65299964
-0.08183617,-0.3453406,0.64972156
-0.08394608,-0.34624463,0.6467396
-0.08621478,-0.3471071,0.64353323
-0.08842201,-0.34795532,0.6404137
-0.0905159,-0.34879753,0.6374544
-0.09273961,-0.34960017,0.6343116
-0.09493795,-0.3503845,0.6312046
-0.09693345,-0.3511784,0.6283844
-0.09894943,-0.35194924,0.62553513
-0.10117799,-0.3526651,0.6223855
-0.103173286,-0.35339838,0.61956555
-0.10505482,-0.3541317,0.6169064
-0.107071176,-0.3548222,0.6140566
-0.1089394,-0.35551998,0.6114162
-0.11053407,-0.35625097,0.60916245
-0.11211059,-0.35696968,0.6069343
-0.11382878,-0.35764456,0.604506
-0.11531528,-0.35834968,0.60240513
-0.116772585,-0.35904613,0.6003455
-0.11831863,-0.35970914,0.59816045
-0.11976822,-0.36037794,0.5961117
-0.12106661,-0.36106625,0.59427667
-0.12238137,-0.36173788,0.59241855
-0.12368154,-0.3623999,0.59058094
-0.12476861,-0.36309993,0.58904463
-0.12577507,-0.36380884,0.5876221
-0.12681018,-0.3645006,0.5861592
-0.12779632,-0.36519456,0.5847655
-0.1287443,-0.36588857,0.5834257
-0.1297359,-0.36656168,0.5820243
-0.1306391,-0.3672487,0.5807478
-0.13146783,-0.36794716,0.5795765
-0.1322547,-0.368649,0.57846445
-0.13301106,-0.36935174,0.57739544
-0.13362926,-0.37008682,0.5765217
-0.13421606,-0.370825,0.5756924
-0.13481165,-0.37155467,0.5748506
-0.13534479,-0.3722974,0.57409716
-0.13587482,-0.37303582,0.57334805
-0.1364256,-0.3737625,0.57256967
-0.13702992,-0.37446663,0.57171553
-0.13761862,-0.3751698,0.5708835
-0.13826112,-0.37584955,0.56997544
-0.13889758,-0.3765249,0.569076
-0.13948831,-0.37720937,0.56824106
-0.14007345,-0.37788993,0.56741405
-0.14060946,-0.37858176,0.56665653
-0.14103323,-0.3793079,0.5660576
-0.14151914,-0.38000762,0.56537086
-0.14221497,-0.38062632,0.56438744
-0.14302954,-0.3811944,0.5632362
-0.14372136,-0.38180026,0.5622584
-0.14451724,-0.38235986,0.5611336
-0.14547479,-0.38284972,0.5597803
-0.14628991,-0.3833853,0.55862826
-0.14697084,-0.3839655,0.5576659
-0.14785632,-0.3844576,0.5564144
-0.1488415,-0.38490075,0.5550221
-0.14978431,-0.38535145,0.5536896
-0.15077665,-0.38577235,0.5522871
-0.15192837,-0.38611683,0.55065936
-0.15301701,-0.38647658,0.5491208
-0.15398759,-0.38687596,0.54774904
-0.1550444,-0.38722843,0.54625547
-0.15605722,-0.38758966,0.544824
-0.15700752,-0.3879685,0.54348093
-0.15796697,-0.3883338,0.54212487
-0.1589698,-0.38866997,0.5407076
-0.1599291,-0.3890161,0.5393518
-0.16091043,-0.38934255,0.5379649
-0.16199152,-0.38961264,0.5364369
-0.162951,-0.38992944,0.53508097
-0.16389415,-0.39024448,0.533748
-0.16499463,-0.39047438,0.53219265
-0.16623193,-0.3906267,0.53044397
-0.16741839,-0.39079177,0.5287671
-0.16863212,-0.39093152,0.52705175
-0.16995916,-0.3910024,0.5251762
-0.17107224,-0.39116848,0.5236031
-0.17210142,-0.39136648,0.52214855
-0.17312346,-0.39155793,0.5207041
-0.17412229,-0.3917514,0.5192924
-0.17501912,-0.39198864,0.5180249
-0.17600322,-0.39217058,0.51663405
-0.17698693,-0.39234298,0.51524377
-0.17796506,-0.3925087,0.5138614
-0.1789793,-0.39264488,0.5124279
-0.18010263,-0.3927109,0.5108403
-0.18117182,-0.39279592,0.5093292
-0.18220457,-0.39289078,0.5078696
-0.18329966,-0.39294007,0.5063219
-0.18431425,-0.39302447,0.50488794
-0.18529364,-0.3931191,0.50350374
-0.18633373,-0.39316875,0.5020338
-0.18745822,-0.3931586,0.5004446
-0.18848053,-0.3931977,0.4989997
-0.1895377,-0.3932059,0.49750558
-0.19065854,-0.39316532,0.4959215
-0.19167838,-0.3931748,0.49448016
-0.19266033,-0.39319736,0.4930924
-0.1937371,-0.39315176,0.49157056
-0.19480513,-0.3931009,0.4900611
-0.19579329,-0.39308938,0.48866448
-0.1968655,-0.39301512,0.48714912
-0.1980369,-0.39286715,0.48549357
-0.19901814,-0.39282936,0.4841068
-0.1999576,-0.39280885,0.48277906
-0.20098174,-0.39272386,0.4813316
-0.20194438,-0.39266905,0.47997105
-0.20284384,-0.39264646,0.47869983
-0.20381473,-0.3925674,0.47732767
-0.20487712,-0.39241734,0.47582617
-0.20579007,-0.39235768,0.47453594
-0.20675206,-0.3922556,0.4731763
-0.20787528,-0.3920335,0.47158888
-0.20894039,-0.39184037,0.47008356
-0.20985557,-0.3917409,0.4687901
-0.21077962,-0.39162612,0.46748412
-0.21170013,-0.3915047,0.46618316
-0.21257441,-0.39140695,0.46494752
-0.21346165,-0.39129126,0.4636936
-0.21442826,-0.39110962,0.46232748
-0.21531792,-0.39097416,0.4610701
-0.21624964,-0.39079922,0.4597533
-0.21735202,-0.3904896,0.45819524
-0.21845528,-0.3901684,0.456636
-0.2195384,-0.3898512,0.45510522
-0.22067039,-0.3894867,0.4535054
-0.22193484,-0.38901094,0.45171833
